SiteID,variable,avg,sterr,hab_type
A,clay,0.422332,0.082438215,GRASSLAND
B,clay,0.576,0.081517892,GRASSLAND
C,clay,0.5674,0.06516717,WETLAND
D,clay,0.2592,0.038327314,HUMANUSE
E,clay,0.33454,0.069834244,GRASSLAND
F,clay,0.55714,0.163981644,HUMANUSE
G,clay,0.42464,0.079115451,HUMANUSE
H,clay,0.87704,0.075744872,GRASSLAND
I,clay,0.53186,0.033018898,WETLAND
J,clay,0.6681,0.086405359,WETLAND
K,clay,0.53918,0.033310695,GRASSLAND
L,clay,0.78034,0.089317443,GRASSLAND
M,clay,0.5156,0.114174691,GRASSLAND
N,clay,0.71125,0.033870772,WETLAND
O,clay,0.3606,0.090874969,BUSH
P,clay,0.2328,0.039459346,BUSH
Q,clay,0.562,0.089290537,GRASSLAND
R,clay,0.4296,0.036182316,BUSH
A,litter,23.5785,2.681571554,GRASSLAND
B,litter,22.3145,4.568233138,GRASSLAND
C,litter,56.9005,8.289401908,WETLAND
D,litter,9.4405,2.852415468,HUMANUSE
E,litter,26.8785,10.95658049,GRASSLAND
F,litter,20.5045,3.418710868,HUMANUSE
G,litter,64.3925,19.6086741,HUMANUSE
H,litter,28.3605,4.686332681,GRASSLAND
I,litter,47.8265,13.22045408,WETLAND
J,litter,67.2425,9.341119847,WETLAND
K,litter,30.7185,6.709586127,GRASSLAND
L,litter,21.5845,4.25940301,GRASSLAND
M,litter,35.132,10.07696948,GRASSLAND
N,litter,52.148,7.59896006,WETLAND
O,litter,38.532,9.546893421,BUSH
P,litter,74.666,11.39082201,BUSH
Q,litter,4.482,0.880990352,GRASSLAND
R,litter,29.838,4.107824728,BUSH